 	Area	XM	YM	Circ.	AR	Round	Solidity
1	8	24.625	11.375	1.000	1.229	0.814	0.941
2	1	36.500	10.500	1.000	1.000	1.000	1.000
3	2	82.000	10.500	1.000	2.000	0.500	1.000
4	5	175.700	10.700	0.764	2.749	0.364	0.769
5	2	187.000	10.500	1.000	2.000	0.500	1.000
6	5	313.700	10.900	1.000	1.553	0.644	0.909
7	3	436.833	10.833	1.000	1.464	0.683	0.857
8	6	454.500	11.000	1.000	1.500	0.667	1.000
9	1	923.500	10.500	1.000	1.000	1.000	1.000
10	12	1012.000	12.167	0.781	1.449	0.690	0.774
11	4	234.000	12.500	0.857	2.031	0.492	0.800
12	3	243.167	12.167	1.000	1.464	0.683	0.857
13	5	296.100	12.300	1.000	1.553	0.644	0.909
14	4	1004.500	12.000	1.000	2.031	0.492	0.800
15	10	324.500	14.000	1.000	1.551	0.645	0.909
16	10	975.700	13.500	1.000	1.236	0.809	0.909
17	17	507.559	15.088	1.000	1.497	0.668	0.919
18	12	543.167	15.167	1.000	1.651	0.606	0.889
19	2	882.500	14.000	1.000	2.000	0.500	1.000
20	4	389.000	17.000	0.539	3.493	0.286	0.667
21	1	33.500	16.500	1.000	1.000	1.000	1.000
22	13	723.346	18.269	0.956	1.796	0.557	0.929
23	4	67.500	18.000	1.000	2.031	0.492	0.800
24	3	158.167	18.167	1.000	1.464	0.683	0.857
25	4	459.500	17.750	1.000	1.468	0.681	0.800
26	5	603.900	18.300	1.000	1.553	0.644	0.909
27	4	139.000	19.000	1.000	1.000	1.000	1.000
28	9	770.611	20.167	1.000	1.340	0.746	0.857
29	6	829.667	19.333	1.000	1.291	0.775	0.800
30	7	552.357	20.214	1.000	1.380	0.725	0.875
31	3	927.167	19.833	1.000	1.464	0.683	0.857
32	2	359.500	21.000	1.000	2.000	0.500	1.000
33	21	370.976	22.071	0.432	3.828	0.261	0.646
34	6	660.000	21.500	1.000	1.500	0.667	1.000
35	1	952.500	20.500	1.000	1.000	1.000	1.000
36	8	1012.500	21.500	0.820	1.363	0.734	0.800
37	5	876.900	22.300	1.000	1.553	0.644	0.909
38	3	982.167	22.167	1.000	1.464	0.683	0.857
39	2	240.500	23.000	1.000	2.000	0.500	1.000
40	2	293.000	22.500	1.000	2.000	0.500	1.000
41	16	751.625	24.438	1.000	1.317	0.759	0.821
42	1	895.500	22.500	1.000	1.000	1.000	1.000
43	6	561.000	24.167	0.916	1.809	0.553	0.857
44	3	570.167	24.167	1.000	1.464	0.683	0.857
45	10	793.500	25.300	1.000	1.236	0.809	0.909
46	3	965.500	23.500	0.967	3.000	0.333	1.000
47	2	614.000	24.500	1.000	2.000	0.500	1.000
48	4	711.000	25.000	1.000	1.000	1.000	1.000
49	4	205.000	26.000	1.000	1.000	1.000	1.000
50	5	251.100	26.300	1.000	1.553	0.644	0.909
51	11	764.409	27.773	0.887	1.892	0.528	0.880
52	9	66.611	27.833	1.000	1.340	0.746	0.857
53	4	314.500	27.250	1.000	1.468	0.681	0.800
54	11	330.591	27.318	0.887	2.173	0.460	0.846
55	1	581.500	27.500	1.000	1.000	1.000	1.000
56	2	834.500	28.000	1.000	2.000	0.500	1.000
57	8	273.250	30.125	0.914	1.605	0.623	0.800
58	1	420.500	28.500	1.000	1.000	1.000	1.000
59	1	528.500	28.500	1.000	1.000	1.000	1.000
60	4	711.000	29.000	1.000	1.000	1.000	1.000
61	3	1002.833	28.833	1.000	1.464	0.683	0.857
62	4	28.000	30.000	1.000	1.000	1.000	1.000
63	1	310.500	29.500	1.000	1.000	1.000	1.000
64	10	481.100	31.800	0.806	1.894	0.528	0.833
65	4	554.250	30.500	0.857	1.468	0.681	0.800
66	6	632.333	31.667	1.000	1.291	0.775	0.800
67	8	994.000	31.000	1.000	2.000	0.500	1.000
68	2	1010.000	30.500	1.000	2.000	0.500	1.000
69	3	16.833	31.833	1.000	1.464	0.683	0.857
70	9	520.500	32.833	1.000	1.542	0.648	0.857
71	2	437.000	32.500	1.000	2.000	0.500	1.000
72	6	293.333	34.667	1.000	1.291	0.775	0.800
73	3	319.833	34.167	1.000	1.464	0.683	0.857
74	4	354.000	34.000	1.000	1.000	1.000	1.000
75	1	458.500	33.500	1.000	1.000	1.000	1.000
76	4	471.500	33.750	1.000	1.468	0.681	0.800
77	8	928.250	35.125	0.914	1.435	0.697	0.842
78	2	447.000	35.500	1.000	2.000	0.500	1.000
79	10	344.000	38.000	0.709	2.095	0.477	0.667
80	1	383.500	36.500	1.000	1.000	1.000	1.000
81	13	625.115	38.115	1.000	1.159	0.863	0.897
82	6	13.000	38.500	1.000	1.500	0.667	1.000
83	2	205.500	38.000	1.000	2.000	0.500	1.000
84	9	361.056	39.167	0.698	2.645	0.378	0.720
85	9	607.500	38.500	1.000	1.000	1.000	1.000
86	4	916.500	37.750	1.000	1.468	0.681	0.800
87	1	266.500	38.500	1.000	1.000	1.000	1.000
88	3	590.500	39.500	0.809	3.000	0.333	1.000
89	2	985.500	39.000	1.000	2.000	0.500	1.000
90	6	93.333	40.667	1.000	1.291	0.775	0.800
91	2	167.000	39.500	1.000	2.000	0.500	1.000
92	13	570.500	41.500	1.000	1.735	0.576	0.929
93	4	638.000	40.000	1.000	1.000	1.000	1.000
94	1	827.500	39.500	1.000	1.000	1.000	1.000
95	1	1000.500	39.500	1.000	1.000	1.000	1.000
96	1	1009.500	39.500	1.000	1.000	1.000	1.000
97	7	730.500	41.786	1.000	1.069	0.936	0.875
98	1	64.500	41.500	1.000	1.000	1.000	1.000
99	2	225.500	42.000	1.000	2.000	0.500	1.000
100	2	539.500	43.000	1.000	2.000	0.500	1.000
101	2	187.500	44.000	1.000	2.000	0.500	1.000
102	8	465.375	44.375	1.000	1.229	0.814	0.941
103	4	475.250	44.500	0.857	1.468	0.681	0.800
104	3	774.167	45.167	1.000	1.464	0.683	0.857
105	2	868.000	44.500	1.000	2.000	0.500	1.000
106	5	158.700	46.300	0.873	2.308	0.433	0.769
107	2	280.000	45.500	1.000	2.000	0.500	1.000
108	1	491.500	45.500	1.000	1.000	1.000	1.000
109	8	177.750	47.625	1.000	1.939	0.516	0.842
110	14	529.786	48.357	0.993	1.310	0.763	0.848
111	1	603.500	46.500	1.000	1.000	1.000	1.000
112	1	700.500	46.500	1.000	1.000	1.000	1.000
113	4	841.500	46.750	1.000	1.468	0.681	0.800
114	4	217.750	47.750	0.857	2.000	0.500	0.800
115	1	440.500	47.500	1.000	1.000	1.000	1.000
116	7	625.786	47.929	1.000	1.936	0.517	0.933
117	5	830.700	48.100	1.000	1.553	0.644	0.909
118	7	1007.786	47.929	1.000	1.936	0.517	0.933
119	2	237.000	48.500	1.000	2.000	0.500	1.000
120	8	593.250	49.625	0.710	2.617	0.382	0.696
121	1	1000.500	48.500	1.000	1.000	1.000	1.000
